date,windturbines_mw
2013-05-19,60458.0
2013-05-20,212854.0
2013-05-21,127432.0
2013-05-22,346692.0
2013-05-23,113719.0
2013-05-24,73473.0
2013-05-25,218398.0
2013-05-26,286426.0
2013-05-27,82084.0
2013-05-28,102566.0
2013-05-29,50258.0
2013-05-30,155356.0
2013-05-31,338823.0
2013-06-01,248275.0
2013-06-02,165471.0
2013-06-03,72025.0
2013-06-04,45032.0
2013-06-05,117826.0
2013-06-06,51046.0
2013-06-07,42873.0
2013-06-08,128298.0
2013-06-09,290699.0
2013-06-10,18029.0
2013-06-11,420258.0
2013-06-12,983233.0
2013-06-13,216627.0
2013-06-14,219502.0
2013-06-15,186066.0
2013-06-16,197777.0
2013-06-17,52209.0
2013-06-18,55772.0
2013-06-19,136047.0
2013-06-20,156459.0
2013-06-21,364729.0
2013-06-22,167271.0
2013-06-23,211293.0
2013-06-24,82669.0
2013-06-25,276755.0
2013-06-26,447133.0
2013-06-27,114281.0
2013-06-28,50266.0
2013-06-29,218325.0
2013-06-30,230982.0
2013-07-01,42847.0
2013-07-02,72500.0
2013-07-03,334949.0
2013-07-04,67601.0
2013-07-05,126313.0
2013-07-06,31495.0
2013-07-07,36448.0
2013-07-08,40515.0
2013-07-09,228128.0
2013-07-10,21790.0
2013-07-11,398037.0
2013-07-12,632392.0
2013-07-13,124583.0
2013-07-14,177812.0
2013-07-15,108825.0
2013-07-16,43929.0
2013-07-17,44521.0
2013-07-18,66407.0
2013-07-19,179270.0
2013-07-20,68735.0
2013-07-21,37164.0
2013-07-22,23168.0
2013-07-23,80945.0
2013-07-24,77257.0
2013-07-25,20012.0
2013-07-26,29163.0
2013-07-27,45312.0
2013-07-28,182392.0
2013-07-29,65018.0
2013-07-30,228684.0
2013-07-31,293198.0
2013-08-01,105562.0
2013-08-02,30753.0
2013-08-03,338771.0
2013-08-04,118663.0
2013-08-05,73128.0
2013-08-06,28977.0
2013-08-07,29697.0
2013-08-08,130979.0
2013-08-09,237867.0
2013-08-10,25779.0
2013-08-11,71103.0
2013-08-12,497767.0
2013-08-13,243835.0
2013-08-14,280790.0
2013-08-15,50594.0
2013-08-16,95443.0
2013-08-17,89855.0
2013-08-18,242792.0
2013-08-19,91271.0
2013-08-20,130936.0
2013-08-21,19144.0
2013-08-22,25660.0
2013-08-23,115309.0
